"contentPlain","词义辨析","定语从句","短语辨析","固定句型","状语从句","句型","过去分词","现在分词","形容词","现在进行时","疑问句","一般现在时","表语从句","一般将来时","形式主语","被动语态","不定式","现在完成时","情态动词","一般过去时","主语从句","同位语从句","宾语从句","发音","过去完成时","过去进行时","将来进行时","其他","虚拟语气","现在完成进行时","不可数名词","不定代词","过去完成进行时","定冠词","零冠词","过去将来时","将来完成时"
"When I caught him ________ me, I stopped buying things there and started dealing with another shop.A．cheatedB．cheatingC．to cheatD．to have cheat","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"What is the worst part of Joe’s story?A．The grammar.B．The handwritingC．The spelling.","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"You may use my room as you like ________ you clean it up afterwards.A．so far asB．in caseC．even ifD．so long as","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I prefer ________ housework rather than ________ there doing nothing.A．do；sitB．doing；to sitC．to do；to sitD．to do；sit","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I now look forward to ________ back to work as soon as possible.A．goB．to goC．goingD．be going","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"If you’re ________ about anything, write to me.A．confusingB．confusionC．confusedD．confusedly","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The zoo needed better management ______ more money.A．other thanB．more thanC．rather thanD．less than","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mr. Smith as well as two of his students ______ the experiment with care at the moment.A．doB．are doingC．doesD．is doing","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"______ this article out of the newspaper.A．Cut outB．Cut offC．Cut inD．Cut down","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nothing can stop you from finishing these tasks on time, ________?A．can’t itB．can itC．can’t theyD．can they","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The boy pushed against the big rock with all his ________ but it didn’t move at all.A．strengthB．energyC．powerD．force","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Four doctors and six nurses ________ the medical team.A．are made up ofB．make up forC．make upD．are made of","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Actually, I prefer to have a walk in the garden ________ sit here doing nothing.A．more thanB．less thanC．other thanD．rather than","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"—It is the best film ________ I have ever seen.—Yes. Jack is the only one of the directors who ________ been given the title of the Best Director.A．that, haveB．that, hasC．which, haveD．which, has","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It was requested that the out-dated rules ________ at once.A．be revisedB．should reviseC．must be revisedD．were revised","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Frank, together with his parents, ________ London by train which ________ at 8:30 next morning.A．is leaving for, will leaveB．are leaving for, will leaveC．is leaving for, leavesD．are leaving for, leaves","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Instead of cutting ________ the foods I enjoyed, I added healthy foods to my meals.A．offB．upC．downD．out","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The Temple of Heaven is a complex of buildings________emperors of the Ming and Qing dynasties in China worshiped heaven.A．whatB．whereC．whichD．when","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occasions are quite rare___________ I can spend a whole week with my family during the Chinese New Year Holiday.A．thatB．whereC．whichD．when","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The professor is trying to create an easy atmosphere ___________ his students enjoy their study.A．whenB．whichC．whereD．who","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"—Are you feeling any better, Lucy?—Yes. The medicine the doctor gave me brought ________ to my headache.A．safetyB．shelterC．reliefD．defense","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"On Halloween, children_______ in special masks and costumes, and visit their neighbors to ask for sweets and gifts.A．take upB．make upC．dress upD．turn up","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"She is hoping to________ a few bargains(便宜货) at the sales.A．pick upB．bring upC．take upD．make up","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Focus your attention ________your study while in the classroom.A．withB．onC．inD．at","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The reason ________ Tom failed in the exam was ______ he didn’t work hard.A．why; thatB．that; whyC．why; becauseD．for which; because","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"If they continue abusing drugs, in the end drug users will find themselves trapped in a prison ________ they cannot escape.A．to whichB．from whichC．by whichD．in which","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"While the book was not welcomed by scholars, I believed that it would make an immediate to the general readers.A．impactB．appealC．requestD．contribution","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I must have slept in an position. I’m aching all over!A．ambiguousB．awkwardC．embarrassingD．impressive","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The earliest way of traveling was undoubtedly by foot, and humans’ earliest means of goods was carrying loads on their back or head.A．innovatingB．transportingC．producingD．measuring","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oceans, like the rest of the world, are impacted by the burning of fossil fuels and theof greenhouse gases like carbon dioxide.A．supplyB．assistanceC．quantityD．release","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The education department is offering a “free” course, called Thinking Chess, for three ______.A．subjectsB．lecturesC．creditsD．lessons","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"______ to the discovery of black holes, Stephen Hawking is one of the most ______ scientists who have changed the way human understand the universe.A．Devoted; admiredB．Devoted; admiringC．Devoting; admiredD．Devoting; admiring","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Assisted by the lawyer, he regained his reputation and recovered his old fortune which enabled him to contribute ______ to the projects he sponsored.A．extremelyB．patientlyC．definitelyD．generously","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Of all the possible holiday ______, one of the best places to visit this weekend is home.A．destinationsB．campsC．innsD．brochures","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Though he didn’t agree with us at first, we soon ________him to our way of thinking.A．convertedB．transferredC．modifiedD．exchanged","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Do you know how to cook a turkey? The instructions in the recipe are really ________ and I really need your help.A．confusingB．confusedC．confuseD．being confused","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The museums ________ more than two and a half million visitors last year.A．roseB．justifiedC．attractedD．extended","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Without determination, My uncle hasn’t been able to ________ smoking.A．attackB．leakC．sufferD．quit","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Useful _______ should be adopted to promote sales.A．signalsB．strategiesC．concernsD．understanding","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liu Yu’s parents think running can________his schoolwork.A．get in the way ofB．be proud ofC．fall in love withD．be responsible for","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The story had a(n)________ among American readers.A．popularityB．discoveryC．libertyD．electricity","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The pill is the most efficient________of birth control.A．methodB．metalC．premierD．license","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The majority of people________TV to radio.A．supposeB．preferC．reflectD．perform","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"This was________(毫无疑问) the most interesting situation that Amanda had ever found herself in.A．without doubtB．even thoughC．by accidentD．all of a sudden","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The government is facing another________(政治的) crisis.A．cruelB．harmfulC．politicalD．responsible","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"We found a large atlas with good maps ________ showed details of world geography.A．thatB．whereC．andD．when","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Believe it or not, there is no such thing ________ standard English.A．thatB．whichC．likeD．as","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"We most prefer to say yes to the________ of someone we know and like.A．expressionB．requestsC．doubtsD．promises","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alice trusts you, only you can ________ her to give up the foolish idea.A．suggestB．attractC．preferD．persuade","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Don’t always________on others. You should learn to rely on yourself.A．getB．passC．preferD．depend","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"When we________, the air goes into our lungs.A．expressB．recycleC．fixD．breathe","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"You have to make a ________ between his toy and that toy.A．demandB．purposeC．choiceD．mistake","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hannah is one of many examples of young people who are________(有作用，有影响) in the world.A．feeling at homeB．keeping away fromC．making a differenceD．ending up","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Don’t respond to any e-mails________(要求) personal information, no matter how official they look.A．requestingB．entitlingC．hatchingD．folding","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"During the Mid-Autumn Festival, families gather to________(欣赏) the moon and enjoy delicious moon cakes.A．admireB．avoidC．collectD．steal","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"She has got used to the new________(模式) of family life.A．surfaceB．patternsC．partnerD．pound","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"They are constantly revising the dictionary to________changes in language.A．castB．sufferC．reflectD．prevent","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"________ you start with one small positive thing during your day, you’ll begin to move into a more positive situation.A．Even ifB．In caseC．As long asD．As far as","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"When the ________ crisis broke out, the employment rates ________.A．economic; followed in others’ footstepsB．economic; got on their nervesC．economical; stepped into others’ shoesD．economical; were put in motion","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Few things ________ trust more than telling others a friend’s secrets.A．adoptB．destroyC．standD．recognize","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"—How long does it take you to get to work?—________ about twenty minutes.A．ExtremelyB．RarelyC．AwfullyD．Normally","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Events at young ages help to ________ our character in later life.A．passB．reduceC．reviseD．form","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Riding a bike helps develop a child’s sense of ______.A．defenceB．inventionC．balanceD．organization","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"He said that he would not be able to ________home for Christmas due to thestormy weather.A．put itB．appreciate itC．name itD．make it","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It is a must for speech makers to ________what he will present prior to thepresentation.A．overlookB．overcomeC．pretendD．polish","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The experiment was made on the________ that air occupies space.A．reasonB．purposeC．assumptionD．goal","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"They got up very early that morning ______ they wouldn’t miss the first bus.A．in caseB．as ifC．so thatD．even if","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"There are successful examples of cancer patients who have ____ because of proper treatment.A．pulled throughB．died outC．given upD．got through","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"_____ you are a big boy, you should not do things like a baby.A．As ifB．Now thatC．BeforeD．Though","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The lab has recently been updated to allow for more _______ courses.A．committedB．owedC．obeyedD．advanced","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The reason _______ I was late was _______ my car broken down.A．which; thatB．that; whyC．why; whenD．why; that","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The number of people________in the quake______ more than 40.000A．who was killed, wasB．that was killed, wereC．who were killed, wasD．that were killed,were","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Workers built shelters for survivors________ homes had been destroyed.A．whomB．whoC．thatD．whose","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"We ________ the train, ________ the day before the October Holiday begins.A．are taking; leavingB．will take; leaveC．are taking; leftD．will take; left","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"________ is not unusual for teenagers of your generation________ to computer games and the online world.A．It, to be attractedB．That, attractingC．It, attractingD．That, to be attracted","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"According to her, the reason ________ she was late for school was ________ she had a flat tire. However, we didn’t actually believe the explanation ________ she gave.A．why, that, /B．why, because, thatC．that, that, /D．that, because, that","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"-What are these housewives talking about?-They are discussing whether men are actually _____ to housework or just too lazy.A．relevantB．allergicC．nativeD．accessible","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"She was worried about her son’s physical and ________ developmentsA．metalB．finalC．mentalD．mathematics.","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"In the future, more ________ can be made in virtual reality and wearable tech.A．advancesB．developmentsC．replacementsD．solution","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WeChat(微信), as well as telephones ________ an important part in our daily communication.A．are playingB．is playingC．have playedD．play","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"His advantage lies in his ability to ________ with foreigners in EnglishA．debateB．fightC．communicateD．begin","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Not every leisured aristocrat becomes demoralized. The emperor Hirohito, instead of _______ a decadent life, was devoted to marine biology, a field _________he became distinguished.A．slipping into; in whichB．getting hold of; thatC．getting in the way of; whereD．slipping in; of which","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Both moral virtue and intellectual virtue are worthwhile human pursuits, but some scholars _________ the former as a universal need for a healthy civilization.A．advanceB．empathizeC．elevateD．approve","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I’m humbled and grateful for the recognition of the award, but the _________ truly belongs to the amazing vision of the film’s director.A．highlightB．creditC．fortuneD．merit","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All human cultures have their rituals and their diversity can cause clashes between peoples, particularly when the valued rituals of one cultureanother as strange.A．noteB．concernC．fancyD．strike","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beijing opera is considered theof Chinese opera, but actually the language of Beijing opera is not the dialect of Beijing.A．essenceB．concentrationC．outputD．movement","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The club’s reform was postponed for the time being at theof some of the VIP members.A．reminderB．requestC．evaluationD．wish","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"the emphasis on how actors move, Kun operas don’t normally have complicated stage sets.A．DespiteB．GivenC．As forD．Regardless of","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mr. Crossett was madehis teaching because of his poor health and old age.A．give upB．give inC．to give upD．to give in","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It was in this old school ________ the government built in 1968 ________ he received good education.A．where; whenB．which; thatC．that; whichD．where; which","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I have sent her several letters, ________ she hasn’t replied so far, so I feel a little sad.A．with whichB．in whichC．to whichD．on which","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
