"contentPlain","词义辨析","一般将来时","句型","同位语从句","短语辨析","状语从句","定语从句","一般现在时","被动语态","一般过去时","其他","现在进行时","过去分词","过去完成时","形容词","现在完成时","不定代词","不定式","现在分词","主语从句","表语从句","宾语从句","过去进行时","现在完成进行时","情态动词","将来进行时","发音","虚拟语气","过去完成进行时","过去将来时","将来完成时","动名词"
"In the past, buildings often ______ the culture of a society, but today all modern buildings look alike and cities throughout the world are becoming more and more similar.A．delivered  B．decorated  C．related  D．reflected","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chan’an, as it was known at that time, was the starting point of the Silk Road, which connected China to the world. What’s the underlined part?A．object  B．subject  C．adverbial  D．attributive","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"International tourism has brought in a phase where the opportunities of making quick profits from exploiting too much of what was regarded as freely available natural resources dazzled the eyes of government and businessmen, as well as many local residents.What is the sentence pattern?A．SV  B．SVO  C．SVC  D．SVOCo","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"In this book, Newton is shown as a gifted scientist who stood at the point in history ______ magic ended and science began.A．when  B．where  C．whom  D．which","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It was in the classroom ______ we had the economics class ______ I found my smart phone.A．that, where  B．that, that  C．where, that  D．where, where","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Avoid close contact with anyone with cold or flu-like symptoms ______ you are infected with the virus.A．so that  B．now that  C．even if  D．in case","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Skipping classes, especially big lectures ______ an absence may not be noticed, is common among collegestudents.A．whose  B．where  C．which  D．when","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The only thing ______ many of the papers pay their attention is the issue of decreasing tax for those low-income families.A．which  B．that  C．on which  D．to which","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Before the 19th century, making clothes was mainly done by unknown dress-makers, ______ design of clothes was influenced by what people were wearing at the French royal court.A．who  B．whose  C．which  D．when","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Many young people have their eyes glued to the screen all day long watching videos on TikTok, completely ignoring the ________ of electronic devices have on their health.A．pressure  B．impact  C．comment  D．impression","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I strongly ___________ that the machines should be checked every year.A．recommend  B．adapt  C．convenient  D．identify","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The poem is _________ of the Romantic period, which makes it known to all.A．satisfying  B．regular  C．formal  D．typical","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The children’s television programmes are aimed at a ______ age of group.A．smart  B．senior  C．specific  D．slight","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"He is an optimistic man with great devotion to his work and I really ________ people like that.A．look forward to  B．look up to  C．look down on  D．look back on","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"If children are praised for their good ________, they will be encouraged to do more good deeds.A．expression  B．comment  C．behaviour  D．exchange","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"At a minimum, the kinds of food local people consume tell us what they grow in their region, what kinds of lives they lead, and what they like and do not like. 主句的谓语动词是? A．consume  B．grow  C．tell  D．lead","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"To prevent harmful habits like these from dominating a teenager’s life is essential. 划线部分在句于中作什么成分?A．主语  B．谓语  C．定语  D．状语","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nowadays, we can move around the world and still ________ the people that we want to remain friends with ________ modern social media tools.A．correspond with; regardless of  B．stay in touch with; due to  C．lose track of; as well as  D．look forward to; based on","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Many animals migrate to find food, ________ a partner, or in search of warmer weather. Some can ________ the way to go by telling the time of the day and measuring the position of the sun.A．select; devote  B．survive; design  C．settle; deliver  D．seek; determine","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Those without outside space can rent small pieces of land ________ they can grow things, ________ is really a great idea.A．where; that  B．on which; which  C．which; which  D．where; it","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dee ________ a healthy lifestyle. He also wanted to ________ that health should always come first.A．took to; get it across  B．took up; figure it out  C．took off; bring it up  D．took down; work it out","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"________ my preference and habit, I have to admit that the best approachimproving English is to open our mouth.A．In spite of; of  B．Regardless of; to  C．Despite; in  D．As to; on","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A high increase in investment will lay a solid _______ for economic growth in the near future.A．registration  B．foundation  C．confirmation  D．institution","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"She was angry to see the beautiful coat ________ she had bought the day before ________ with snow.A．which; cover  B．that; covered  C．/; covering  D．where; covered","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It was in this school ________ the name he will never forget ________ he won the speaking competition about how the army and rescue workers made joint efforts to return the earthquake disaster area to normal.A．of which; that  B．where; that  C．whose; where  D．that; that","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"In some cities, minibuses offer a(an) ___________ to expensive taxis and crowded pubic transport.A．resource  B．registration  C．alternative  D．breakthrough","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"—What do you think of the activity organized by our school last Saturday?—It really gave us a platform ___________ we learned team spirit.A．that  B．where  C．which  D．when","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Choosing a________ time to go to bed and then sticking with it is an instant way to have more deep sleep.A．flexible  B．specific  C．precious  D．rough","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I was asked at the last minute to take part in the 1500m at my school’s sports day to ________the numbers. But amazingly I came out third.A．take away  B．figure out  C．go over  D．make up","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"——How do you find Nick’s performance last night?——To be honest, his singing didn’t ________me.A．appeal to  B．belong to  C．refer to  D．occur to","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"After working for 10 years, I find teaching is a job ___________you are doing something serious but interesting.A．that  B．which  C．when  D．where","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Global warming could pat coastal cities under water and drive over half of all species to ___________.A．exist  B．extinction  C．flight  D．highlight","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The medical team _______ the injured at present in that hospital.A．are treating  B．is treating  C．are treated  D．is treated","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jane leads _______ unbelievable and busy life in Gombe Park .A．a  B．/  C．the  D．an","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Could it be in the restaurant ______ you had dinner with your partner yesterday ______ you lost your handbag?A．which; that  B．where; that  C．that; which  D．that; where","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"In computing, if you ______ a file to a message that you send to someone, you send it with the message.A．tie  B．relate  C．connect  D．attach","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tell your doctor with a detailed medical history ______ he can give you the accurate treatment.A．even if  B．so that  C．in case  D．as though","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It is said that dogs will keep you ______ for as long as you want when you are feeling lonely.A．safety  B．company  C．comfortable  D．friend","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The police found the two “stolen” notebooks were left in a gift bag________the original blue box________the notebooks were kept in and a brown envelope.A．containing; where  B．to contain; which  C．containing; /  D．to contain; that","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It is one of the most surprising moments in Oscar history________actor Will Smith walked on stage and slapped Chris Rock for a joke________Rock made about Smith’s wife's hair.A．which; that  B．that; when  C．when; that  D．which; which","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"________was beyond their expectation was that they finally reached a place________sold drinks and other small articles.A．It; which  B．It; where  C．What; which  D．What; where","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"The reason________he didn’t show up at the party is________he was ill.A．why; that  B．that; because  C．why; because  D．which; for","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"________ deep down in the earth, the dead forests rotted away and became coal.A．Buried  B．Burying  C．To bury  D．Being buried","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robin, a rocket scientist, agrees and thinks starting with Mars makes the most sense.句子中非谓语动词是：A．agrees  B．thinks  C．starting  D．makes","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The singer fell in love with Mozart’s music when he sang for the college choir.从句中主语是：A．The singer  B．Mozart’s music  C．he  D．the college choir","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"One day, when Helen was playing with a doll, Miss Sullivan gave her another doll and spelt d-o-l-l into her hand, trying to make her understand that d-o-l-l ________ to both.A．assessed  B．applied  C．accessed  D．announced","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I wish to thank Professor Smith, without ______ help I would never have got this opportunity.A．who  B．whose  C．whom  D．which","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"We have to admit that there are many people nowadays ______ still live happily ______ of modern technology.A．who; in absence  B．which; at absence  C．that; on presence  D．where; in presence","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"It ________ to you whether I like it or not, because you never listen to me.A．makes a difference  B．makes no difference  C．makes sense  D．makes no sense","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
