"contentPlain","幂函数","函数单调性","指数函数","基本不等式","解不等式","函数奇偶性","分段函数","集合的运算","函数图象","函数零点","对数函数","特称（存在性）命题","恒成立问题","函数根分布","函数的概念","三角函数","复合函数","充要条件","容斥原理","集合","导数"
"把函数f(x)=cos2x的图象向左平移𝐫/⋃_ℒ个单位长度得到函数𝔤(x)的图象，若𝔤(x)在[0,a]上是减函数，则实数Q的最大值为（）A．  5π/12  B．  T/2  C．  πo  D．  T/λ","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"若sin(π/2+a)=-1/3，则cos(π+2α)（）A．  -4√(2)/9  B．  4√(2)/9  C．  7/9  D．  - γ/ℚ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"已知集合A⊆ι_1^i1,4,7ι_1^i，且A中至多有一个奇数，则这样的集合共有（）A．3个  B．4个  C．5个  D．6个","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"设集合A={n|n=3k ,k∈𝐙  i，B=;n|n=4k ,k∈Z:，C={n|n=6k ,k∈Z {.，则（）A．  A^|B=C  B．  B∪C=A  C．  C⊆(A∩B)  D．  B∩C=A∩B","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知集合A={-4, -3,0,6}，B= {x∈𝐙 ||x|≤3}，则A^B中非空真子集的个数为（）A．5  B．2  C．4  D．3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"存在三个实数𝒬_|，a_2，U_3，使其同时满足下述两个等式：（1）a_1a_2a_3=8；（2）a_1+a_2+a_3=-2，其中M表示三个实数𝒬_|，a_2，U_3中的最大值，则（）A．  M  的最大值是2  B．  M  的最大值是  2√(2)  C．  M  的最小值是2  D．  M  的最小值是  2√(2)","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"在算式2^a+2^b+2^c+(1/2)^p+(1/2)^q=2 ⌋5/8中，a,b,c,p,q是五个非负整数，且a>b>c，p≻q，则b+p=（）A．  𝕆  B．  𝐒̂  C．  λ  D．  3̅","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知函数y=f(x)的对应关系如下表，函数y=g((x)的图象如下图，则f(g(1))的值为（）                A．  -  B．  𝔒_^  C．  |||  D．  3̅","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"“a=b”是“a c=b c”的（）A．充要条件  B．充分不必要条件  C．必要不充分条件  D．既不充分也不必要条件","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"在平面直角坐标系x O y中，P(2cos(θ-π/6),cos(θ+π/3))，θ∈[0,π]与原点𝑂距离最大值为（）A．1  B．2  C．3  D．4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"若实数𝐗̅，𝐲，ℤ满足x y z=-16，x+y+z=0.用*min{x,y,z}表示𝐗̅，𝐲，ℤ中最小的数，则*min{x,y,z}的最大值为（）A．  -√(2)  B．  -2  C．  - 2√(2)  D．  -4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知图①对应的函数为y=f(x)，则图②对应的函数是（）A．  y=f(.-|x|)  B．  y=- f(-|x|)  C．  y=f(.-x)  D．  y=-f(←x)","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"已知 x> 0，y>0，且2x+y=1，则4/x+4/y的最小值为（）A．  4+4√(2)  B．  s√(2)  C．  6+4√(2)  D．12","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"若函数f(x)在区间[a,b]上的图象是一条不间断的曲线，则“f( a ) f( b )<0”是“函数y=f(x)在区间(a,b)上有零点”的（）A．充分不必要条件  B．必要不充分条件  C．充要条件  D．既不充分也不必要条件","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"已知函数f(x)=√(1-|x-2|), 1≤x≤3，则下列说法错误的是（）A．  f(6)=1/4  B．关于  𝐗̅  的方程  64f(x)=1  有13个不同的解  C．  f(x)  在  [2024,2025]  上单调递增  D．当  x∈[1,+∞)  时，  x f(x)≤2  恒成立","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0"
"为响应国家退耕还林的号召，某地的耕地面积在最近50年内减少了20^†0，如果按照此规律，设2024年的耕地面积为m，则2029年的耕地面积为（）A．  ( 1-0.2^250 )m  B．  (1-0.8^1/10)_m  C．  0.8^250m  D．  0.8^1/10m","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列比较大小的式子中，正确的有（）个①3^1/3<9^1/5<(1/3)^-3/2；②0.6^0.8<0.8^0.6；③√(10)<√(31).A．0  B．1  C．2  D．3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知 x>0，≤>0，且y≥z-x，则y/x+y_x/z的最小值为（）A．  3̅  B．  𝐒̂  C．  r  D．  ^g","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"“∃x>0，(a-3)x-1=0”成立的充分必要条件是（）A．  a≫1  B．  a<1  C．  a≫3  D．  a<3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"已知集合A={iy,ja^2}，B={1,a+2}，若A^|B=B，则a∈（）A．  |2!  B．  ^!1,-2^γ  C．  ^t-1,2^1  D．  ^i-1,1,2^j","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"设A=[0,1/2]，B=(1/2,1)，f(x)=x+1/2,x∈A2-2x·x∈B，若m∈A，且f( f(m) )∈A，则m的取值范围为（）A．  [0,1/4)  B．  [0,1/4]  C．  [1/4,1/2]  D．  [1/4,1/2]","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"已知函数f(x)=dχ-6-d, χ *∼d|a^𝐱-3_s x>（其中a>0且a≠1），若f(x)在R上单调递增，则实数a的取值范围是（）A．  ( 0, 1 )  B．  ( 1, +𝒟 )  C．  ( 1, 3 )  D．  ( 1,3 ]","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"“方程a x^2+2x-1=0有实根”的充要条件为（）A．  a∈[-1,+∞)  B．  a∈(μ-μ·λ·λ)  C．  a∈[-1,0)∪(0,+∞)  D．  a∈(∇-1,0)∪(0,+∞)","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"已知命题p：∃x∈𝐑，使√(x^2)≤x，则 ^∘p为（）A．  ∀ x∈ℝ  ，有  √(x^2)≥x  B．  ∃x∈𝐑  ，使  √(x^2)≥x  C．  ∀ x∈ℝ  ，有  √(x^2)>x  D．  ∃x∈𝐑  ，使  √(x^2)>x","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"下列函数在定义域上既是奇函数又是增函数的是（）A．  f(x)=-1/x  B．  f(x)=x+1  C．  f( x )=(√(x) )^2  D．  f(x)=x^3","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"设全集U=Ψ_τ1,2,3,4,5,6,7_τ，A={2,4,6}，B=|ł_1,j,(ł,ł^*/ł，则(C_1A)∩B=（）A．  _i|_·3,5_i  B．  i_i|, 3, 7_i  C．  i_δ|, 𝒮, γ_𝐢  D．  [3,5,7]","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知tanα=2，则α的值为（）A．  2√(5)/5  B．  4/5  C．  3/5  D．  - 3/5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"已知𝐗̅，𝐲均为正实数，若x+y=1，则2x-y+2/λy的最小值为（）A．4  B．9  C．12  D．14","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知𝐕̅，β̂均为锐角，若sin( α+β )=1/3，sin( σ-β )=1/4，则（）A．  tanctanβ=1/7  B．  arctanβ=7  C．  tanα/tanβ=1/γ  D．  dΩd/d𝐝β=7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"已知函数f( x )=|x+2|+x-3，若f( a )>f( 3-2a )，则实数Q的取值范围是（）A．  ( - ∞, - 2 )  B．  (-∞, -1)  C．  ( 1, +𝒟 )  D．  ( 3 , + ∞ )","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知函数f(x)=2x+1/x，x∈[1/2,2]，则函数f(x)的值域为（）A．  [3,9/2]  B．  [2√(2),9/2]  C．  [2√(2) ,3]  D．  [√(2),3]","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"设正数𝐗̅，𝐲满足x+2y=1，则1/x+x/y的最小值为（）A．  2√(2)+1  B．  3√(2)-1  C．  √(2)+1  D．  3+2√(2)","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知函数f(x)图象如右图所示，则f(1-x)的图象是（）A．    B．    C．    D．","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"定义在R上的偶函数f(x)，在区间( 0 , + x )上单调递减，下列判断正确的是（）A．  f((-1)>f(2)  B．  f( 1)<f( 2)  C．  f((-1)<f(-2)  D．  f((-1)<f(2)","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"若命题“∀ x∈ℝ，x^2-1^>m”是真命题，则实数Jℳ的取值范围是（）A．  (-∞, -1]  B．  (-∞, -1)  C．  [-1,+∞)  D．  ( - 1, +∞ )","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"已知集合A={x|-2<x<3}，B={[ .- 3 ].-1·0·2λ3𝐚，则A^|B=（）A．  𝔦-1,0𝔦  B．  i.0,2^!  C．  ^i-3, - 1, 0i  D．  ^t-1,0,2}","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"非空集合A⊆𝐑，且满足如下性质：性质一：若Q、ℐ∈𝒜，则a+b∈A；性质二：若a∈A，则- a∈𝒜则称集合A为一个“群”．以下叙述正确的个数为（）①若A为一个“群”，则A必为无限集；②若𝒜为一个“群”，且Q、ℐ∈𝒜，则a-b∈A；③若𝒜、B̅都是“群”，则A^B必定是“群”；A．  𝔒   B．  𝐭̂  C．  𝒟  D．  3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"集合A={x|-2≤x≤4，B={x|√(x)∈A∖}，则A^|B=（）A．  [-2,0]  B．  [0,4]  C．  [4,16]  D．  [-2,16]","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"若函数f( x )=log_0.5( a x-x^2 )在区间( - 1,0)上单调递增，则a的取值范围是（）A．  (0,2|  B．  [-2,0)  C．  [2,+∞)  D．  (-∞, -2]","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"集合M={[ x|x|x=7k-2,k∈𝐍} ].，P={[ x|x=7n+5,n∈ℕ| ].，S=1/2 x|x=ø1/2m+S,m∈𝐍i的关系是（）A．  S⊆P⊆M  B．  S=P⊆M  C．  S⊆P=M  D．  P=M⊆S","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知f(x+1/x)=2x+1/x，则f(x)的解析式为（）A．  x+1(x≠0)  B．  ⟩^'⊢⟨⟨γ^*≢↛⟨^'.⟩⟩  C．  2x+1(x≠0)  D．  2x+1(x≠1)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"已知f(x)=|x|-2024/|x|，则不等式f( x-1)>f( - 3 )的解集为（）A．  ( - ∞, - 2 ) ∪ ( 4 , + ∞ )  B．  ( - ∞, - 2 )  C．  (-2,4)  D．  (4,+∞)","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知p:|2x-3|<1,q;(x-1) (x-3)<0，则D/是𝒞的（）条件．A．充分不必要条件  B．必要不充分条件  C．充要条件  D．既不充分也不必要条件","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"不等式1/x-1>1的解集为（）A．  ( -∞, 1 )∪( 2 , +∞ )  B．  (-∞,2)  C．  ( 1,2 )  D．  ( - ∞, 0 ) ∪ ( 1, +∞ )","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"集合^t-2,0,3;的真子集的个数为（）A．4  B．6  C．7  D．8","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"若关于𝐗̅的不等式a x^2+2a x+4-3a>0对ϵ_em恒成立，则Q的取值集合为（）A．  {a|0<a≤1}  B．  {a|0≤a≤1}  C．  {a|a>0}  D．  i a|a≥0^↑","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"设D/：x>√(3)，𝒞：𝔛𝔜，则D/是𝒞的（）条件．A．充要  B．充分不必要  C．必要不充分  D．既不充分也不必要","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"下列命题正确的个数是（）①命题“所有的四边形都是矩形”是存在量词命题；②命题“∀x∈𝐑.x^2+2<0”是全称量词命题；③命题“∃ x∈𝐑·x^2+4x+4<0”的否定形式是“∀ x∈𝐑. x2+4x+4≥0”A．0  B．1  C．2  D．3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"设a=(1/3)^2.5,b=log_3/21/3,c=3^-2.3，则a·b·c的大小关系为（）A．  c<a<b  B．  a<b<c  C．  b<a<c  D．  a<c<b","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"已知函数f(x)=x|x|-4x，若函数F(x)=[f(x)]^2-(2a+8)f(x)+a(a+8)有4个零点，则实数Q的取值范围是（）A．  (∂-12,4)  B．  ( - 12 , - 4 ]  C．  (-4,8]  D．  [-4,4)","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"已知tan(π-a/2)=12/5，则sin(π/2+α)的值为（）A．  1-/|_2  B．  -119/169  C．  12/13  D．  119/109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"已知集合A={[ x|y=1/ln( x+1) ]..，B={[ x|y=√(x-2) ].，则下列结论正确的是（）A．  A=B  B．  A^|B=∅  C．  4⊆B  D．  B⊆A","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0"
"已知命题p:∃a,b∈ℝ，使得a^2<b^2成立，则下列说法正确的是（）A．  p:∀a ,b∈ℝ ,a^2>b^2  ，为假命题  B．  p:∀a ,b∈ℝ ,a^2≥b^2  ，为假命题  C．  p:∀a ,b∈ℝ ,a^2>b^2  ，为真命题  D．  p:∀a ,b∈ℝ ,a^2≥b^2  ，为真命题","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"已知定义在R上的函数f(x)满足2f(x+y)f(x-y)=f(x)+f(y)，且f(0)≠0，则下列结论正确的是（）A．  f(0)=-1  B．函数  f(x)  为奇函数  C．函数  f(x)  有2个零点  D．  f( 2x )=f( x )","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"“一元二次方程a x^2-2x-4=0(a≠0)有一个正根和一个负根”的必要不充分条件是（）A．  a>0  B．  a>-1  C．  a<0  D．  a≫1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"命题“∀x∈{x|-2≤x≤11，x^2-a≤0”为真命题的一个必要不充分条件是（）A．  a≥3  B．  a≤4  C．  a≥4  D．  a=6","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"“2^n>1，log_2b>1”是“2^n+b>4”的（）A．充分不必要条件  B．必要不充分条件  C．充要条件  D．既不充分也不必要条件","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"已知集合A={x∈Z||x-1|<3}，B=|.x |0≤x≤3|，则A^|B=（）A．  i.0,1,2,3'  B．  ^i-1,0,1,2}  C．  {x}(logz)⩾  D．  ^x|-2<x<4}","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"农业农村部于2021年2月3日发布信息：全国按照主动预防、内外结合、分类施策、有效处置的总体要求，全面排查蝗灾隐患.为了做好蝗虫防控工作，完善应急预案演练，专家假设蝗虫的日增长率为6^0/_d，最初有N_0只，则大约经过（）天能达到最初的1800倍.A．129  B．150  C．197  D．199","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"若函数f( x )=ln_x+a^x+1+2x的图象关于点( b , 4 )对称，且a≠1，则a-b=（）A．  -7  B．  -S̃  C．  -μ  D．  -l","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"中国历代书画家喜欢在纸扇的扇面上题字绘画，某扇面为如图所示的扇环，记48的长为𝑙_^，𝐶 𝐷的长为JA̅，若l:m:A D=9:3:2，则扇环的圆心角的弧度数为（）A．3  B．2  C．  ληT/3  D．  ≤η_2T/⟨⟩","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"已知正数Jℳ、1满足3^m·9^n=9，则2/m+3/n的最小值为（）A．  2√(6)  B．  4+2√(3)  C．  8+4√(3)  D．  8+2√(3)","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"以下选项中，是集合A={ ( x,y) | y=3x-S}的元素的是（）A．  (1,-2)  B．  (2, -1)  C．  (3,5)  D．  (4, 8)","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"已知f(x)是定义域为{ - ∅ , + ∅ }的奇函数，满足f( x )=f( 2-x )，若f(1)=1，则f( 1 )+f( 2 )+f( 3 )+f( 4 )+ · · · · +f( 2025 )（）A．  |||  B．  𝔒  C．  1013  D．  2025","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
