"contentPlain","基因与核酸","细胞核的结构与功能","蛋白质的结构与功能","脂质的结构与功能","细胞壁结构与功能","细胞基础理论","细胞化学组成基础","生命系统层次理论","实验方法与技术","糖类的结构与功能","细胞渗透与物质运输","细胞的生命历程","细胞器结构与功能","物质运输方式","生物膜系统功能","显微镜使用与成像","酶的作用机制","光合作用机制","ATP与能量代谢","细胞呼吸机制","光合色素与光能捕获","叶绿体结构与功能","能量代谢过程","细胞增殖与分裂","细胞代谢调控","生物学史"
"下列实例中，不能说明细胞是生命活动的基本单位的是（　　）A．流感病人打喷嚏时，会有大量流感病毒随飞沫散布于空气中  B．手触碰到盛有沸水的电水壶壁会迅速缩回  C．巴黎奥运会中潘展乐完成100米自由泳有肌肉细胞的收缩和舒张  D．人的胚胎发育过程中，细胞不断地进行分裂繁殖","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列关于观察叶绿体和细胞质流动实验的叙述，正确的是（　　）A．观察细胞质的流动可用叶绿体的运动作为标志  B．在高倍镜下可观察到叶绿体的内外双层膜结构  C．常选用菠菜叶稍带些叶肉的上表皮  D．显微镜下观察到的胞质流动方向与实际流动方向相反","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"下列有关蛋白质与其功能不相符合的是（　　）A．胃蛋白酶——催化  B．血红蛋白——运输  C．肌动蛋白——免疫  D．胰岛素——调节","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"氨基酸的结构如图所示，下列有关叙述错误的是（　　）A．部分氨基酸人体细胞不能合成  B．氨基酸的不同取决于④  C．两个氨基酸中①和③之间形成肽键  D．形成的蛋白质中 N 主要存在于①","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"糖类是重要的能源物质，下列叙述正确的是（　　）A．糖类的组成元素都是 C、H、O  B．单糖都可以为生命活动供能  C．红糖、白糖、冰糖都是果糖  D．淀粉和糖原的基本单位相同","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列有关无机盐的叙述不正确的是（　　）A．缺Mg影响叶肉细胞光合作用  B．缺Fe导致红细胞运输氧气能力下降  C．缺Na  +  导致神经细胞兴奋性升高  D．缺Ca  2+  可能出现肌肉抽搐","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列关于酵母菌和蓝细菌的叙述，错误的是（　　）A．酵母菌是异养生物，而蓝细菌是自养生物  B．酵母菌有线粒体，而蓝细菌无线粒体  C．酵母菌具有细胞核，而蓝细菌具有拟核  D．酵母菌和蓝细菌都有细胞壁，且主要成分相同","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列关于细胞学说及其建立过程的说法正确的是（　　）A．细胞是一个有机体，一切生物都由细胞发育而来  B．细胞学说的建立，标志着生物学的研究进入分子水平  C．细胞分裂产生新细胞的结论，为后来进化论的确立埋下了伏笔  D．细胞学说的建立过程运用了完全归纳法，得出的结论是可信的","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"质膜的流动镶嵌模型如图所示，①~④表示膜上含有的物质。下列叙述正确的是（）A．①在质膜的内外侧均有分布，与细胞间的识别有关  B．②可自发形成双层结构，与质膜的选择透过性无关  C．③分布于质膜中，能催化质膜中发生的某些生化反应  D．④有脂溶性和水溶性两部分，可控制某些离子出入细胞","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"科研工作者对某种淀粉酶的最佳使用温度范围进行了测定，下图中的曲线①表示该酶的相对酶活性（酶在某温度下短时间的酶活性/最适温度下酶活性）。曲线②表示残余酶活性（酶在某温度下保温足够长的时间后，置于最适温度下测量其酶活性）。下列叙述错误的是（）A．温度影响酶的空间结构  B．该酶的最适温度是30℃  C．100℃条件下，该酶短时间内仍具有活性  D．生产中该酶最佳使用温度范围是60~70℃","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"光合作用光反应可分为原初反应、电子传递和光合磷酸化。原初反应中光能经色素的吸收和传递后使PSI和PSII上发生电荷分离产生高能电子，高能电子推动着类囊体膜上的电子传递。电子传递的结果是一方面引起水的裂解以及NADP⁺的还原；另一方面建立跨膜的H⁺浓度梯度，启动光合磷酸化形成ATP。光反应的部分过程如图所示。下列说法正确的是（）A．原初反应实现了光能直接到化学能的能量转化过程  B．类囊体膜内外H⁺浓度梯度的形成与水的裂解、质体醌的转运以及NADP⁺的还原有关  C．图中H⁺通过主动运输进入叶绿体基质  D．光反应产生的NADH和ATP用于暗反应中三碳化合物的还原","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"下图简单表示一项化学反应。x是蔗糖、麦芽糖或乳糖中的一种，图中的圆表示两个相同的物质，下图中y最可能是（）A．葡萄糖  B．蔗糖  C．麦芽糖酶  D．果糖酶","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"生物体内参与生命活动的生物大分子可由单体聚合而成，构成蛋白质等生物大分子的单体和连接键以及检测生物大分子的试剂等信息如下表。根据表中信息，下列叙述错误的是（）单体  连接键  生物大分子  检测试剂或染色剂  ①  ②  蛋白质  ③  ④  —  核酸  —  A．多糖、蛋白质、核酸等生物大分子是以碳链为骨架  B．①是氨基酸，④是碱基  C．①和④都含有C、H、O、N元素  D．②是肽键，③可以是双缩脲试剂","1","0","1","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"雪梨成熟过程中，果实中的糖类等有机物等物质会发生转化。某生物小组利用成熟初期和成熟后期的雪梨研磨液进行了相关实验。用碘液检测时，发现成熟初期的雪梨研磨液变蓝，且颜色深于成熟后期的雪梨研磨液；用斐林试剂检测时，发现成熟后期的雪梨研磨液出现砖红色沉淀，且颜色深于成熟初期的雪梨研磨液，用双缩脲试剂及苏丹Ⅲ染液分别检测，也出现了相应结果。下列相关叙述错误的是（）A．用双缩脲试剂检测是否含蛋白质，应先加A液，再加B液  B．将碘液和斐林试剂分别加入试管内的研磨液中，水浴加热后方能出现相应的颜色反应  C．用苏丹Ⅲ染液检测是否含脂肪，若呈橘黄色，则说明雪梨有一定的脂肪  D．实验结果说明雪梨成熟变甜是大量淀粉转变成可溶性还原糖的结果","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"维生素C又称抗坏血酸，其分子式为C6H8O6。下列物质与维生素C的元素组成完全相同的是（）A．纤维素  B．叶绿素  C．抗体  D．核苷酸","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阅读下列材料完成下面小题：DNA指纹技术在案件侦破工作中有着重要作用，从案发现场获取的生物组织材料中提取DNA 样品，可为案件侦破提供证据。1．下列人体生物组织材料中，能够提取到 DNA样品的有（）①血痕②精液③指甲④唾液A．①③④  B．①②③④  C．①②④  D．①②③  2．DNA分子可以为案件侦破提供证据的原理是：不同人体细胞内所含（）A．DNA分子的碱基种类和数量不同  B．DNA分子的数量和空间结构不同  C．DNA分子的五碳糖和磷酸种类不同  D．DNA 分子的脱氧核苷酸数量和排列顺序不同","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苏云金芽孢杆菌产生的 Bt 毒蛋白在被棉铃虫吞食后发生活化，与棉铃虫肠道细胞表面受体结合形成复合体，并插入其细胞的细胞膜中，直接导致细胞膜穿孔，细胞内含物流出，直至细胞死亡。这种现象属于（）A．细胞分化  B．细胞坏死  C．细胞凋亡  D．细胞衰老","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"某同学将三块边长分别为3cm、2cm、1cm的含酚酞的立方体琼脂块，浸没于0.1%的NaOH溶液中 3min，把每一琼脂块切成两半，测量每一块琼脂块上NaOH 扩散的深度（记为 Q）并计算紫红色区域的体积与整个琼脂块的体积之比（记为R）。下列叙述正确的是（）A．每一琼脂块的 Q值是不同的  B．R的大小可反映酚酞遇碱的变色速率  C．细胞内外物质交换效率越高，R值越大  D．细胞核对细胞质的控制效率可用 Q 值表示","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"茶树根细胞质膜上的硫酸盐转运蛋白可逆浓度转运硒酸盐。随植物的生长，被根细胞吸收的硒酸盐中大部分硒与胞内蛋白结合形成硒蛋白，硒蛋白通过囊泡运输，最终在细胞壁中储存。下列叙述错误的是（）A．硒酸盐以离子的形式才能被根细胞吸收  B．硒酸盐以主动转运的方式被根细胞吸收  C．转运蛋白将硒蛋白从细胞内转运到细胞壁  D．呼吸抑制剂处理根细胞，可抑制硒蛋白的转运","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"下图表示ATP的结构示意图，下列叙述正确的是（）A．图中a是DNA的基本组成单位之一  B．ATP的结构简式可表示为A-P~P~P  C．ATP是生命活动的主要能源物质  D．ATP水解时b更容易断裂","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"将紫色洋葱鳞片叶表皮细胞浸于0.3g/mL蔗糖溶液中，显微镜下观察该细胞整个动态变化过程获得甲、乙两种状态。下列叙述错误的是（）A．实验可以证明原生质层相当于一层半透膜  B．乙中的细胞液比甲中颜色浅  C．甲的吸水能力低于乙  D．若细胞液泡颜色较浅，则可调暗视野观察","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"水和无机盐对生物体具有重要作用，下列有关叙述错误的是（）A．自由水是细胞内的良好溶剂，能参与物质运输和化学反应  B．哺乳动物的血液中钙离子含量过低，会出现抽搐等症状  C．无机盐在细胞中含量很少，所以属于微量元素  D．水是极性分子，带电分子（或离子）易与水结合，因此水是一种良好的溶剂","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"南方某科研团队拟利用以下四种氨基酸分子合成一种环状多肽，分子式为CxHyOZNw，则该环状多肽中含有①号氨基酸的个数是（）A．y-z  B．x+y+1  C．w—z  D．w—z+1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"构成淀粉、纤维素、糖原的基本单位分别是（）A．葡萄糖、葡萄糖、半乳糖  B．葡萄糖、葡萄糖、葡萄糖  C．葡萄糖、氨基酸、果糖  D．葡萄糖、果糖、半乳糖","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下图表示某种新型抗肿瘤药物分子进入细胞核后产生效应的过程。另有研究表明，亲核蛋白在细胞质中合成后，可以迅速被运输至细胞核内。下列叙述错误的是（）A．核孔可以选择性地控制蛋白质进入细胞核  B．药物分子既可以在溶酶体中被降解也可以在细胞质基质中被降解  C．核膜由4层磷脂分子层构成，把核内物质与细胞质分开  D．细胞核与溶酶体内相关酶的合成无关","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"某同学先后用蔗糖溶液、清水处理紫色洋葱鳞片叶外表皮细胞，并绘制了实验结果示意图（如图所示）。图中纵坐标可表示（）A．原生质体的体积  B．液泡中紫色的深度  C．细胞的吸水能力  D．细胞壁的伸缩性","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"如图所示为来自同一人体的三种细胞，下列叙述正确的是（）A．3种细胞中的染色质数量不同  B．3种细胞中的细胞核数量不同  C．3种细胞中的葡萄糖吸收方式相同  D．3种细胞中的蛋白质种类完全不同","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"如图表示利用同位素标记物质X探究分泌蛋白合成、加工和分泌过程，a、b、c表示三种细胞结构。下列叙述正确的是（）A．若物质X为只有羧基被  3  H标记的亮氨酸，不能达到实验目的  B．若a表示粗面内质网，该过程中c的膜面积基本不变  C．若a、b、c表示三种细胞器，三者之间通过囊泡运输蛋白  D．人体内的胰岛素、唾液淀粉酶、性激素等属于分泌蛋白","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下图为4种细胞器模式图，下列叙述正确的是（）A．甲的外膜比内膜功能更复杂  B．乙普遍存在于高等动植物细胞中  C．丙中含有的花青素与光合作用有关  D．丁是细胞中合成脂质的主要场所","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"图甲、图乙分别表示载体蛋白介导和通道蛋白介导的两种协助扩散方式，其中通道蛋白介导的扩散比载体蛋白介导的扩散快1000倍。下列叙述错误的是（）A．载体蛋白在转运过程中需与被运输的物质相结合并发生构象变化  B．载体蛋白和通道蛋白属于转运蛋白，对物质运输均具有专一性  C．甲、乙两种方式都属于被动运输，被转运的溶质从高浓度一侧到低浓度一侧，且具有饱和效应  D．O₂ 分子跨膜运输需与该通道蛋白的直径和形状等相适配","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"图1是某高等生物的细胞亚显微结构示意图，图2是真核细胞中4种结构的示意图。下列相关叙述 正确的是（）A．图2中的4个结构都可来自图1所示的细胞  B．图1中③只存在于动物细胞  C．图2中甲、乙、丙中均含有DNA 和RNA  D．图1中的②④⑤⑥⑦⑨等构成细胞的生物膜系统，它们的结构和功能相同或相似","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"如图是真核细胞膜的亚显微结构模式图，①~③表示物质。下列有关说法错误的是（）A．构成细胞膜的①②③都是运动的  B．细胞识别与①有关  C．② 在细胞膜上的分布是不均匀的，在物质运输等方面具有重要作用  D．人体成熟红细胞的③的单层分子的面积约等于该细胞所有膜面积的两倍","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"下列关于脂质的说法不正确的是（）A．脂肪是动植物细胞共有的储能物质，室温下大多数植物脂肪呈液态，动物脂肪多数呈固态  B．胆固醇是构成动物细胞膜的重要成分，在人体内还参与血液中脂质的运输  C．骆驼体内能促进生殖器官发育的物质的化学本质是脂肪  D．维生素D能够促进人体对钙的吸收，所以在补钙的同时需要补充一定量的维生素D","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"同学们在校园内常看到的几种状况，如果是您如何处理?运用所学的知识，认为其中不太恰当的是（）A．夏季学校桂花树叶片泛黄，建议学校管理人员需施用一定浓度的Mg  2+  溶液  B．同班某同学最近视力下降了，建议同学可以多吃点鱼眼，吃什么补什么  C．学校的杨树准备越冬，建议学校管理人员减少灌溉以抵抗寒冷  D．学校运动会上运动员大量流汗时，建议运动员要喝淡盐水","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"某种脑啡肽有镇痛作用，可作为药物来使用，该脑啡肽的结构式如图所示。下列说法正确的是（）A．该脑啡肽由5种氨基酸相互结合而成  B．氨基酸的排列顺序改变不会影响该脑啡肽的功能  C．该脑啡肽中含有1个游离的氨基和2个游离的羧基  D．该脑啡肽合成过程中生成了4分子的水","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"生物学实验中常用颜色反应鉴定细胞中的某些结构或化合物，下列说法正确的是（）A．豆浆能与双缩脲试剂产生砖红色沉淀  B．向马铃薯匀浆中滴加碘液，振荡摇匀后组织样液呈蓝色  C．花生子叶切片经苏丹Ⅲ染液染色后，可在显微镜下观察到细胞中红色的脂肪颗粒  D．向苹果匀浆中加入斐林试剂，水浴加热后出现紫色","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"研究人员对分别取自3种不同生物的部分细胞(甲、乙、丙)进行分析、观察和实验，获得的结果如下 表，甲、乙、丙3种细胞最可能是（）  核膜  核糖体  细胞壁  光合作用  甲  √  √  √  √  乙  √  √  ×  ×  丙  ×  √  √  √  注：表中“√”表示“有”或“能”，“×”表示”无”或“不能”.A．蓝菇、蝶螈、颇蓝细菌  B．变形虫、念珠蓝细菌、玉米  C．蓝细菌、鹰、蘑菇  D．伞藻、美西螈、发菜","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列各组合中，能体现生命系统由简单到复杂的正确层次的是（）①香蕉；②呼吸道上皮；③神经细胞；④柳树；⑤细胞内蛋白质、水等化合物；⑥甲型HM 病毒；⑦某池塘中的 所有的鱼；⑧一片森林中的全部山毛榉；⑨一片草地；⑩某片森林中所有的生物A．⑥③②①④⑦⑩⑨  B．③②①④⑦⑩⑨  C．⑤②①④⑦⑩⑨  D．③②①④⑧⑩⑨","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"高尔基体对来自内质网的蛋白质的包装分选有多条途径。调节型分泌途径是指新合成的可溶性分泌蛋白在分泌泡聚集、储存并浓缩， 只有在特殊刺激下才引发分泌活动。组成型分泌是指分泌蛋白不受细胞外界调节因素的调控， 可持续不断地分泌某些蛋白至细胞表面。下列说法不正确的是（　　）A．胰岛素经过高尔基体的分选、分泌属于调节型分泌途径  B．两条分选途径均不会导致高尔基体膜面积不断减少  C．细胞表面受体蛋白的形成属于组成型分泌途径  D．两条途径均需要细胞膜上载体蛋白的协助","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"在45℃和60℃条件下， 测定不同pH环境中植物淀粉酶的活性 （用淀粉完全水解所需的时间表示），结果如图所示。下列叙述不正确的是（　　）A．淀粉完全水解所需时间长短与淀粉酶活性高低呈负相关  B．曲线①和曲线②分别为45℃和60℃条件下测定的结果  C．45℃和60℃条件下， 植物淀粉酶的最适pH均为7  D．向反应液中滴加碱液， pH从1→4→7过程中，淀粉酶活性逐渐恢复","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
